 station_train_code,departure_destination_station,train_number
G7326,温州南-上海虹桥,j000G732610
G7328,诸暨-杭州东,6000G7328D1
G7329,上海虹桥-温州南,l000G732980
G7330,温州南-上海虹桥,j000G733004
G7331,上海虹桥-温州南,l000G7331F0
G7332,苍南-上海虹桥,j000G733251
G7333,上海虹桥-温州南,l000G7333B0
G7334,温州南-上海虹桥,j000G733451
G7335,上海虹桥-苍南,l000G7335A2
G7336,苍南-上海虹桥,j000G733630
G7337,上海虹桥-苍南,l000G7337A2
G7338,平阳-上海虹桥,j000G733820
G7339,上海虹桥-苍南,l000G733901
G7340,温州南-上海虹桥,j000G734021
G7341,杭州东-苍南,6000G734120
G7342,苍南-杭州东,j000G734203
G7343,上海虹桥-瑞安,l000G734360
G7344,瑞安-上海虹桥,j000G734410
G7345,杭州东-苍南,6000G734530
G7346,苍南-杭州东,j000G734620
G7347,上海虹桥-金华南,l000G734742
G7348,丽水-上海虹桥,a000G734802
G7349,南京南-温州南,l000G734971
G7350,苍南-南京南,j000G735002
G7351,上海虹桥-宜兴,l000G735150
G7352,宜兴-上海虹桥,s000G735310
G7353,宜兴-上海虹桥,s000G735310
G7354,上海虹桥-宜兴,l000G735150
G7355,上海虹桥-杭州,l000G735530
G7356,溧阳-上海虹桥,s000G735700
G7357,溧阳-上海虹桥,s000G735700
G7358,杭州-上海,6000G735840
G7359,上海-杭州,5000G735921
G7360,杭州-上海,6000G736061
G7361,杭州东-江山,6000G736111
G7362,诸暨-杭州东,6000G7362C0
G7364,江山-上海虹桥,6000G7364E1
G7365,上海虹桥-江山,l000G736540
G7366,江山-上海虹桥,6000G7366B0
G7367,上海虹桥-乐清,l000G736762
G7368,乐清-上海虹桥,j000G736931
G7369,乐清-上海虹桥,j000G736931
G7370,上海虹桥-乐清,l000G736762
G7371,金寨-江山,i000G737432
G7372,江山-合肥南,6000G737216
G7373,江山-合肥南,6000G737216
G7374,金寨-江山,i000G737432
G7375,合肥南-江山,i000G737822
G7376,江山-合肥南,6000G737626
G7377,江山-合肥南,6000G737626
G7378,合肥南-江山,i000G737822
G7381,上海虹桥-衢州,l000G738101
G7382,衢州-上海虹桥,6000G738200
G7383,上海虹桥-衢州,l000G738320
G7385,合肥南-杭州东,i000G738830
G7386,衢州-合肥南,6000G738670
G7387,衢州-合肥南,6000G738670
G7388,合肥南-杭州东,i000G738830
G7389,南京-衢州,4000G738950
G7390,衢州-常州,6000G739070
G7391,上海虹桥-南京南,l000G7391B2
G7392,南京南-上海虹桥,l000G739350
G7393,南京南-上海虹桥,l000G739350
G7394,上海虹桥-南京南,l000G7391B2
G7395,上海虹桥-南京南,l000G739551
G7396,南京南-上海虹桥,l000G739775
G7397,南京南-上海虹桥,l000G739775
G7398,上海虹桥-南京南,l000G739551
G7402,黄山北-蚌埠南,2000G740216
G7403,蚌埠南-黄山北,l000G7403E1
G7409,淮北-六安,3000G741202
G7410,合肥-淮北,3000G741013
G7411,合肥-淮北,3000G741013
G7412,淮北-六安,3000G741202
G7416,黄山北-合肥南,2000G741651
G7417,合肥南-黄山北,i000G741711
G7419,合肥南-黄山北,i000G741950
G7427,淮北-合肥南,3000G743002
G7428,合肥南-淮北,i000G742810
G7429,合肥南-淮北,i000G742810
G7430,淮北-合肥南,3000G743002
G7431,合肥南-温州南,i000G743440
G7432,苍南-合肥南,j000G743200
G7433,苍南-合肥南,j000G743200
G7434,合肥南-温州南,i000G743440
G7451,南京南-黄山北,l000G745130
G7452,黄山北-南京南,2000G745210
G7453,南京南-千岛湖,l000G745350
G7454,千岛湖-南京南,6000G745400
G7455,合肥南-千岛湖,i000G745801
G7456,千岛湖-合肥南,6000G745610
G7457,千岛湖-合肥南,6000G745610
G7458,合肥南-千岛湖,i000G745801
